"price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","city","statezip","House_Age","monthHS","dayHS","sqft_basement_Categorized"
313000,"3","1.5",1340,7912,"1.5","0","0","3",1340,0,"Shoreline","WA 98133",9,"05","02","0"
2384000,"5","2.5",3650,9050,"2","0","4","5",3370,280,"Seattle","WA 98119",93,"05","02","1"
550000,"4","2.5",1940,10500,"1","0","0","4",1140,800,"Redmond","WA 98052",22,"05","02","2"
490000,"2","1",880,6380,"1","0","0","3",880,0,"Seattle","WA 98115",20,"05","02","0"
335000,"2","2",1350,2560,"1","0","0","3",1350,0,"Redmond","WA 98052",38,"05","02","0"
482000,"4","2.5",2710,35868,"2","0","0","3",2710,0,"Maple Valley","WA 98038",25,"05","02","0"
452500,"3","2.5",2430,88426,"1","0","0","4",1570,860,"North Bend","WA 98045",29,"05","02","2"
640000,"4","2",1520,6200,"1.5","0","0","3",1520,0,"Seattle","WA 98115",4,"05","02","0"
1400000,"4","2.5",2920,4000,"1.5","0","0","5",1910,1010,"Seattle","WA 98105",26,"05","02","2"
588500,"3","1.75",2330,14892,"1","0","0","3",1970,360,"Sammamish","WA 98074",34,"05","02","1"
242500,"3","1.5",1200,9720,"1","0","0","4",1200,0,"Kent","WA 98042",49,"05","02","0"
257950,"3","1.75",1370,5858,"1","0","0","3",1370,0,"Des Moines","WA 98198",14,"05","02","0"
275000,"3","1.5",1180,10277,"1","0","0","3",1180,0,"North Bend","WA 98045",5,"05","02","0"
435000,"4","1",1450,8800,"1","0","0","4",1450,0,"Bellevue","WA 98006",35,"05","02","0"
626000,"3","2.25",1750,1572,"2.5","0","0","3",1470,280,"Seattle","WA 98102",9,"05","02","1"
612500,"4","2.5",2730,12261,"2","0","0","3",2730,0,"Bothell","WA 98011",23,"05","02","0"
495000,"4","1.75",1600,6380,"1","0","0","3",1130,470,"Seattle","WA 98125",25,"05","02","1"
285000,"3","2.5",2090,10834,"1","0","0","4",1360,730,"Federal Way","WA 98003",27,"05","02","2"
615000,"3","1.75",2360,7291,"1","0","0","4",1360,1000,"Seattle","WA 98136",66,"05","02","2"
698000,"4","2.25",2200,11250,"1.5","0","0","5",1300,900,"Kirkland","WA 98033",94,"05","02","2"
790000,"3","2.5",2600,4750,"1","0","0","4",1700,900,"Seattle","WA 98117",15,"05","02","2"
382500,"4","1.75",1560,8700,"1","0","0","4",1560,0,"Kirkland","WA 98034",47,"05","02","0"
499950,"4","2.5",2860,3345,"2","0","0","3",2190,670,"Woodinville","WA 98072",11,"05","02","2"
650000,"4","2",1820,5000,"1.5","0","1","3",1640,180,"Seattle","WA 98115",4,"05","02","1"
625000,"4","2.5",2820,8408,"2","0","0","3",2820,0,"Shoreline","WA 98155",0,"05","02","0"
4e+05,"4","2.5",3630,42884,"1.5","0","0","3",2300,1330,"Auburn","WA 98092",0,"05","02","3"
604000,"3","2.5",3240,33151,"2","0","2","3",3240,0,"Federal Way","WA 98023",19,"05","02","0"
287200,"3","3",1850,19966,"1","0","0","4",1090,760,"Maple Valley","WA 98038",22,"05","02","2"
750000,"3","2.5",2390,6550,"1","0","2","4",1440,950,"Seattle","WA 98116",5,"05","02","2"
335000,"3","2.25",1580,16215,"1","0","0","4",1580,0,"Fall City","WA 98024",14,"05","02","0"
260000,"4","2",1480,8625,"1","0","0","4",1480,0,"Renton","WA 98055",40,"05","02","0"
308500,"2","1",850,6174,"1","0","0","4",850,0,"Shoreline","WA 98155",31,"05","02","0"
439950,"3","2.5",1770,2875,"2","0","0","3",1770,0,"Seattle","WA 98116",5,"05","02","0"
235000,"2","1",1210,9400,"1","0","0","2",1210,0,"Seattle","WA 98106",65,"05","02","0"
315000,"3","1",1160,9180,"1","0","0","3",1160,0,"Woodinville","WA 98077",17,"05","02","0"
407500,"3","2.5",1930,10460,"2","0","0","3",1930,0,"Renton","WA 98059",18,"05","02","0"
445700,"3","2.5",1270,1180,"3","0","0","3",1270,0,"Seattle","WA 98107",13,"05","02","0"
838000,"4","2.5",3310,42998,"2","0","0","3",3310,0,"Redmond","WA 98052",13,"05","02","0"
630000,"4","2.75",2710,37277,"2","0","0","3",2710,0,"Issaquah","WA 98027",14,"05","02","0"
550000,"3","1.75",2910,35200,"1.5","0","0","3",2910,0,"Sammamish","WA 98075",0,"05","02","0"
805000,"3","2",2710,4500,"1.5","0","0","4",1880,830,"Seattle","WA 98115",85,"05","02","2"
284000,"3","1.75",1800,23103,"1","0","0","3",1800,0,"Carnation","WA 98014",17,"05","02","0"
470000,"5","2.5",2210,9655,"1","0","0","3",1460,750,"Bothell","WA 98011",38,"05","02","2"
430000,"4","1.5",1920,10000,"1","0","0","4",1070,850,"Bellevue","WA 98006",35,"05","02","2"
491500,"4","1.75",2190,125452,"1","0","2","3",2190,0,"Auburn","WA 98092",17,"05","02","0"
785000,"5","3.25",3660,11995,"2","0","2","3",3660,0,"Snoqualmie","WA 98065",8,"05","02","0"
385000,"3","3.25",1320,1327,"2","0","0","3",1040,280,"Seattle","WA 98199",6,"05","02","1"
295000,"2","2.5",1630,1368,"2","0","0","3",1280,350,"Seattle","WA 98106",5,"05","02","1"
459990,"3","2.5",2680,5539,"2","0","0","3",2680,0,"North Bend","WA 98045",91,"05","02","0"
553000,"2","1",900,5000,"1","0","0","3",900,0,"Seattle","WA 98117",70,"05","03","0"
379880,"3","2.5",1650,14054,"1","0","0","4",1130,520,"Issaquah","WA 98027",28,"05","03","1"
310000,"3","1",1010,9945,"1","0","0","4",1010,0,"Snoqualmie","WA 98065",41,"05","03","0"
775000,"2","2.5",2680,7392,"1","0","0","3",2680,0,"Redmond","WA 98053",11,"05","04","0"
365000,"3","2.5",2200,7350,"1","0","0","5",1570,630,"Renton","WA 98058",26,"05","04","2"
331950,"4","2.5",2530,9933,"2","0","2","3",2010,520,"Auburn","WA 98092",5,"05","04","1"
783500,"3","2.5",2850,7130,"2","0","0","3",1990,860,"Seattle","WA 98122",34,"05","04","2"
628000,"4","2",2280,6010,"1","0","0","3",1140,1140,"Seattle","WA 98122",9,"05","04","3"
560000,"3","2.5",1900,8744,"2","0","0","3",1900,0,"Sammamish","WA 98074",14,"05","05","0"
531000,"2","3",1270,1175,"2","0","0","3",1110,160,"Seattle","WA 98103",14,"05","05","1"
831000,"4","3",2170,4000,"2","0","0","4",1610,560,"Seattle","WA 98112",3,"05","05","2"
755000,"4","2.5",2120,10202,"1","0","0","4",1620,500,"Bellevue","WA 98005",13,"05","05","1"
705380,"3","2.5",2490,4343,"2","0","0","3",2490,0,"Issaquah","WA 98029",11,"05","05","0"
627000,"4","2.25",1990,7712,"1","0","0","3",1210,780,"Issaquah","WA 98027",1,"05","05","2"
865000,"4","3",3690,9892,"2","0","0","3",3690,0,"Sammamish","WA 98075",8,"05","05","0"
580000,"2","1",2540,7000,"1","0","0","5",1320,1220,"Seattle","WA 98118",72,"05","05","3"
485000,"4","3",2340,7048,"1","0","0","4",1340,1000,"Kirkland","WA 98034",35,"05","05","2"
4e+05,"2","1.75",2110,9519,"1","0","0","2",2110,0,"Shoreline","WA 98155",66,"05","05","0"
549000,"2","1",1140,5400,"1","0","0","5",1140,0,"Seattle","WA 98112",106,"05","05","0"
620000,"3","1.75",1480,2185,"2.5","0","0","3",1480,0,"Kirkland","WA 98033",9,"05","05","0"
405000,"2","3",1410,1240,"2","0","0","3",1140,270,"Seattle","WA 98136",8,"05","05","1"
232000,"2","1",1200,8063,"1","0","0","4",1200,0,"Des Moines","WA 98198",42,"05","05","0"
800866,"5","2.5",3180,13806,"2","0","0","4",3180,0,"Kirkland","WA 98033",24,"05","05","0"
650000,"3","1.5",2160,9000,"1","0","2","4",1400,760,"Seattle","WA 98177",29,"05","05","2"
